,name_congressperson,pol_party,house,gender,has_twitter,twitter,num_followers,created_at,author_id,tweet_id,tweet_text,self_prom
0,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-16T13:49:17.000Z,9.56E+17,1.42E+18,@brunossa2 Obrigada! :),
1,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-16T13:49:07.000Z,9.56E+17,1.42E+18,@Claudia1050 Concordo!! 😢,
2,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-16T13:48:44.000Z,9.56E+17,1.42E+18,@AmigosJato Por isso é importante um voto consciente... 👍,
3,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-16T12:56:31.000Z,9.56E+17,1.42E+18,"Seis bilhões para pagar campanha política é um ABSURDO! 
#adrianaventura #diganãoaofundão #FundaoNao #fundoeleitoral https://t.co/lKufTXtBBm",
4,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-15T20:12:52.000Z,9.56E+17,1.42E+18,#derrubasenado #Fundaode6biNAO https://t.co/n0QG4iGfNP,
5,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-15T19:55:55.000Z,9.56E+17,1.42E+18,"@robertolivianu @InstitutoInac Eu não aprovei o #Fundão, hein... Fundo eleitoral é indecente. Fundo de 6 bilhões não tem palavras. #fundode6binao",1
6,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-15T19:52:59.000Z,9.56E+17,1.42E+18,"@alvarodias_ Senador, precisamos barrar este ABSURDO aí no @SenadoFederal. #Fundao6BiNao #DerrubaSenado",
7,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-15T18:31:41.000Z,9.56E+17,1.42E+18,"Perdemos. Vergonhosa aprovação de R$ 6 bilhões para o fundão eleitoral. Isto sim foi um tratoraço!!
Agora pressão nos senadores- que votam hoje 16h. E pressão para que o Presidente Bolsonaro VETE este escárnio!!!",1
8,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-15T18:30:29.000Z,9.56E+17,1.42E+18,"Rejeitado em votação simbólica o destaque do @partidonovo30 que barrava a verba INDECENTE de 5,7 bilhões para bancar santinhos de políticos nas campanhas eleitorais. 

Esse é o Brasil que você sonhou? 
#FundaoDe6biNAO 

https://t.co/bP35yW8Gm3",
9,Adriana Ventura,NOVO,deputies,F,1,adriventurasp,23900,2021-07-15T16:14:24.000Z,9.56E+17,1.42E+18,"Aprovado na CMO, onde represento o @partidonovo30, o aumento do #Fundão para quase 6 bilhões! 
Votei contra! Não podemos deixar o Congresso aprovar. 
Foco no que é PRIORIDADE: saúde, educação, segurança.
Dinheiro pra campanha política: NÃO!
#Fundãonão

https://t.co/4PIn5s2DkG",1
10,Afonso Florence,PT,deputies,M,1,AfonsoFlorence,17300,2021-07-18T15:42:11.000Z,599427558,1.42E+18,"Em tempos de apagão na Educação, relembre a revolução nos governos do PT. Dados divulgados dia 15 revelam que o número de bolsas do Programa Universidade para Todos (Prouni), instituído pelo governo Lula em 2005 caiu 29,5% entre 2020 e 2021.

https://t.co/8uWy8Qhaai",
11,Afonso Florence,PT,deputies,M,1,AfonsoFlorence,17300,2021-07-16T16:27:02.000Z,599427558,1.42E+18,"Com Bolsonaro-Guedes, atividade econômica cai pela 2ª vez no ano 

https://t.co/r7YqXsqIKw",
12,Afonso Florence,PT,deputies,M,1,AfonsoFlorence,17300,2021-07-14T14:39:47.000Z,599427558,1.42E+18,"O PL da grilagem 2633/20 cria a figura do “imóvel em regularização”. Apenas apresentando um Cadastro Ambiental Rrural (CAR),não homologado,grileiros e desmatadores de terras públicas entrarão no programa.É o sonho de consumo de criminosos. Não ao PL da grilagem!
#PLdaGrilagemNão https://t.co/lSyq5vJDEt",
13,Afonso Florence,PT,deputies,M,1,AfonsoFlorence,17300,2021-07-13T20:56:27.000Z,599427558,1.42E+18,"CONTRA O PL DA GRILAGEM
(PL 2633)
#GrilagemNão https://t.co/Z0M8eM7p6Z",
